fixture_id,name,label,fixture_type,mode,patch,universe,address,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,scale_x,scale_y,scale_z,source_file,metadata
1,HelDGB8S 1,HelDGB8S 1,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,6,1.001,1,1,0.581,1.229,0,0,-0,0,1,1,1,web_jobs_test_upload\20260326-111057-63288e75\uploads\Tram_Analyz_patch.xml,"{""index"": ""0"", ""name"": ""HelDGB8S 1"", ""fixtureid"": ""1"", ""fixturetype.name"": ""6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off"", ""subfixture.index"": [""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7""], ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
2,HelDGB8S 2,HelDGB8S 2,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,6,1.025,1,25,1,0.775,0,0,-0,0,1,1,1,web_jobs_test_upload\20260326-111057-63288e75\uploads\Tram_Analyz_patch.xml,"{""index"": ""1"", ""name"": ""HelDGB8S 2"", ""fixtureid"": ""2"", ""fixturetype.name"": ""6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off"", ""subfixture.index"": [""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7""], ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
3,HelDGB8S 3,HelDGB8S 3,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,6,1.049,1,49,1.547,0.938,0,0,-0,0,1,1,1,web_jobs_test_upload\20260326-111057-63288e75\uploads\Tram_Analyz_patch.xml,"{""index"": ""2"", ""name"": ""HelDGB8S 3"", ""fixtureid"": ""3"", ""fixturetype.name"": ""6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off"", ""subfixture.index"": [""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7""], ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
4,HelDGB8S 4,HelDGB8S 4,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,6,1.073,1,73,3,0,0,0,-0,0,1,1,1,web_jobs_test_upload\20260326-111057-63288e75\uploads\Tram_Analyz_patch.xml,"{""index"": ""3"", ""name"": ""HelDGB8S 4"", ""fixtureid"": ""4"", ""fixturetype.name"": ""6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off"", ""subfixture.index"": [""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7""], ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
5,HelDGB8S 5,HelDGB8S 5,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,6,1.097,1,97,4,0,0,0,-0,0,1,1,1,web_jobs_test_upload\20260326-111057-63288e75\uploads\Tram_Analyz_patch.xml,"{""index"": ""4"", ""name"": ""HelDGB8S 5"", ""fixtureid"": ""5"", ""fixturetype.name"": ""6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off"", ""subfixture.index"": [""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7""], ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
6,HelDGB8S 6,HelDGB8S 6,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,6,1.121,1,121,5,0,0,0,-0,0,1,1,1,web_jobs_test_upload\20260326-111057-63288e75\uploads\Tram_Analyz_patch.xml,"{""index"": ""5"", ""name"": ""HelDGB8S 6"", ""fixtureid"": ""6"", ""fixturetype.name"": ""6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off"", ""subfixture.index"": [""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7""], ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
7,HelDGB8S 7,HelDGB8S 7,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,6,1.145,1,145,6,0,0,0,-0,0,1,1,1,web_jobs_test_upload\20260326-111057-63288e75\uploads\Tram_Analyz_patch.xml,"{""index"": ""6"", ""name"": ""HelDGB8S 7"", ""fixtureid"": ""7"", ""fixturetype.name"": ""6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off"", ""subfixture.index"": [""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7""], ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
8,HelDGB8S 8,HelDGB8S 8,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,6,1.169,1,169,7,0,0,0,-0,0,1,1,1,web_jobs_test_upload\20260326-111057-63288e75\uploads\Tram_Analyz_patch.xml,"{""index"": ""7"", ""name"": ""HelDGB8S 8"", ""fixtureid"": ""8"", ""fixturetype.name"": ""6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off"", ""subfixture.index"": [""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7""], ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
9,HelDGB8S 9,HelDGB8S 9,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,6,1.193,1,193,8,0,0,0,-0,0,1,1,1,web_jobs_test_upload\20260326-111057-63288e75\uploads\Tram_Analyz_patch.xml,"{""index"": ""8"", ""name"": ""HelDGB8S 9"", ""fixtureid"": ""9"", ""fixturetype.name"": ""6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off"", ""subfixture.index"": [""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7""], ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
10,HelDGB8S 10,HelDGB8S 10,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,6,1.217,1,217,9,0,0,0,-0,0,1,1,1,web_jobs_test_upload\20260326-111057-63288e75\uploads\Tram_Analyz_patch.xml,"{""index"": ""9"", ""name"": ""HelDGB8S 10"", ""fixtureid"": ""10"", ""fixturetype.name"": ""6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off"", ""subfixture.index"": [""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7""], ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
11,HelDGB8S 11,HelDGB8S 11,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,6,1.241,1,241,0,-1,0,0,-0,0,1,1,1,web_jobs_test_upload\20260326-111057-63288e75\uploads\Tram_Analyz_patch.xml,"{""index"": ""10"", ""name"": ""HelDGB8S 11"", ""fixtureid"": ""11"", ""fixturetype.name"": ""6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off"", ""subfixture.index"": [""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7""], ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
12,HelDGB8S 12,HelDGB8S 12,6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off,6,1.265,1,265,1,-1,0,0,-0,0,1,1,1,web_jobs_test_upload\20260326-111057-63288e75\uploads\Tram_Analyz_patch.xml,"{""index"": ""11"", ""name"": ""HelDGB8S 12"", ""fixtureid"": ""12"", ""fixturetype.name"": ""6 Helios Tube 42: RGB RGB - 8 Pixels - Strobe Off"", ""subfixture.index"": [""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7""], ""subfixture.reacttograndmaster"": ""true"", ""subfixture.color"": ""ffffff""}"
